DATE,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2020-10-16,307.0,349.950012,2210.550049,2061.199951,472.399994,3044.75,3231.350098,595.22998,339.950012,401.649994,3747.199951,782.349976,111.349998,3222.699951,5080.549805,2269.899902,772.700012,827.150024,1199.349976,561.150024,3346.449951,179.800003,2150.550049,1961.699951,396.100006,165.699997,608.299988,1127.5,311.049988,1336.550049,894.099976,606.650024,6894.899902,80.300003,15430.25,67.25,119.212532,2175.800049,799.549988,195.949997,486.899994,2763.300049,477.100006,127.75,39.384998,822.75,1223.150024,466.950012,4482.100098,339.649994
2020-10-19,316.950012,347.549988,2212.100098,2070.100098,492.950012,2980.0,3267.199951,598.109985,346.649994,397.700012,3772.449951,764.0,114.699997,3093.399902,5058.149902,2198.149902,773.150024,844.75,1203.550049,570.5,3248.699951,182.699997,2177.800049,2031.5,417.100006,168.25,627.099976,1125.900024,313.5,1376.699951,902.900024,597.450012,6851.950195,81.650002,16093.150391,69.300003,119.812531,2176.199951,798.299988,204.0,483.649994,2711.550049,475.850006,128.25,39.549999,824.150024,1228.800049,463.450012,4514.600098,343.200012
2020-10-20,321.899994,348.950012,2212.25,2118.5,493.950012,3004.199951,3262.149902,595.184998,343.350006,405.0,3553.149902,764.299988,113.650002,3085.75,5071.149902,2194.449951,777.200012,879.650024,1223.949951,571.0,3237.600098,180.800003,2173.100098,2015.300049,414.600006,167.449997,625.25,1137.5,318.700012,1368.800049,917.299988,602.25,6844.600098,80.650002,16252.549805,67.400002,117.900032,2155.899902,800.75,203.050003,486.350006,2739.0,477.899994,129.649994,39.240002,849.849976,1233.5,455.950012,4544.350098,346.75
2020-10-21,312.0,355.350006,2149.5,2114.300049,501.450012,3018.0,3232.850098,590.414978,349.549988,419.0,3397.25,767.099976,115.099998,3078.949951,5046.75,2181.350098,791.75,871.049988,1246.699951,562.700012,3178.350098,185.949997,2163.149902,2048.75,420.299988,167.649994,628.099976,1148.349976,322.950012,1393.300049,924.450012,600.849976,6861.850098,82.300003,16030.849609,67.800003,122.812531,2124.600098,785.349976,203.75,490.200012,2675.399902,465.299988,130.25,40.404999,845.900024,1244.699951,454.200012,4629.100098,343.450012
2020-10-22,311.5,358.350006,2101.699951,2099.899902,510.299988,3006.199951,3314.449951,587.340027,349.350006,430.649994,3458.350098,757.5,115.800003,3093.5,5022.0,2159.449951,791.650024,866.25,1233.300049,561.099976,3081.5,184.449997,2179.350098,2042.550049,412.899994,168.550003,608.75,1129.050049,325.5,1393.050049,936.299988,604.349976,6811.549805,84.650002,15909.450195,68.849998,123.825027,2106.949951,780.799988,203.300003,485.549988,2671.149902,466.200012,133.5,40.965,837.450012,1229.449951,454.5,4614.549805,344.450012
2020-10-23,315.450012,364.350006,2075.0,2120.25,507.200012,3082.25,3316.899902,583.155029,351.549988,434.399994,3469.75,757.549988,117.699997,3068.850098,5018.25,2181.899902,785.200012,852.450012,1235.800049,564.5,3111.050049,182.25,2143.850098,2059.699951,416.950012,170.75,608.150024,1122.5,321.25,1383.050049,941.25,625.150024,7103.25,86.25,15865.450195,69.0,127.612534,2113.050049,770.700012,202.800003,484.5,2686.800049,472.799988,137.0,42.345001,848.25,1241.699951,450.950012,4504.549805,342.399994
2020-10-26,307.399994,363.700012,2052.300049,2080.449951,493.350006,2895.149902,3293.899902,570.094971,346.100006,434.049988,3485.399902,747.150024,114.550003,3042.149902,4978.100098,2108.100098,780.0,847.799988,1210.900024,578.650024,2897.949951,172.399994,2166.75,2073.350098,404.450012,168.550003,616.650024,1112.449951,308.299988,1416.900024,951.75,597.150024,7054.799805,85.949997,16259.349609,68.199997,129.037537,2029.099976,778.849976,196.699997,474.5,2688.199951,476.950012,133.699997,40.84,819.25,1215.5,433.399994,4485.399902,339.799988
2020-10-27,314.049988,364.399994,2118.649902,2197.800049,508.100006,2947.350098,3453.25,566.724976,348.649994,433.350006,3572.25,770.25,113.949997,3156.850098,5099.399902,2118.25,779.099976,847.25,1233.099976,587.299988,2911.949951,174.449997,2176.699951,2041.349976,409.950012,167.199997,614.0,1090.849976,308.950012,1587.650024,981.950012,597.150024,7158.399902,89.449997,17229.849609,66.849998,130.125031,2034.5,774.450012,194.649994,470.450012,2630.149902,498.75,135.649994,41.099998,828.650024,1231.800049,438.549988,4566.950195,334.049988
2020-10-28,318.850006,353.649994,2079.300049,2159.550049,504.700012,2944.050049,3370.800049,564.234985,345.450012,451.850006,3541.699951,765.25,112.699997,3131.449951,4951.0,2135.0,777.25,829.599976,1209.599976,586.150024,2946.199951,170.449997,2164.350098,1968.900024,396.049988,165.5,592.849976,1076.550049,305.850006,1551.349976,982.849976,604.150024,7186.049805,88.099998,17119.150391,66.349998,129.637527,2011.449951,771.0,190.449997,463.399994,2622.199951,492.850006,134.800003,40.23,804.299988,1217.0,450.75,4469.299805,335.649994
2020-10-29,328.899994,342.700012,2085.850098,2225.449951,493.850006,2925.350098,3380.050049,562.39502,341.799988,450.799988,3532.649902,762.299988,110.849998,3107.600098,4941.950195,2136.850098,770.200012,840.049988,1187.199951,586.099976,2894.0,167.899994,2122.100098,1934.300049,399.899994,163.850006,588.700012,1074.849976,306.799988,1570.900024,934.5,591.950012,7117.700195,86.5,16870.599609,64.400002,128.700027,2026.900024,761.5,188.699997,456.350006,2632.649902,492.0,131.899994,40.139999,804.25,1178.199951,450.25,4576.799805,337.450012
